"Now Shopping by","Comprar por"
"If enabled, will collect statistic of products added to Compare List","If enabled, will collect statistic of products added to Compare List"
"Enable ""Product Added To Cart"" Report","Enable ""Product Added To Cart"" Report"
"If enabled, will collect statistic of products added to Cart","If enabled, will collect statistic of products added to Cart"
"Enable ""Product Added To WishList"" Report","Enable ""Product Added To WishList"" Report"
"If enabled, will collect statistic of products added to WishList","If enabled, will collect statistic of products added to WishList"
"Enable ""Share WishList"" Report","Enable ""Share WishList"" Report"
"If enabled, will collect statistic of shared WishLists","If enabled, will collect statistic of shared WishLists"
"Average","Média"
"Stock Quantity","Quantidade da estoque"
"Ordered Quantity","Quantidade Encomendada"
"The report displays the top 5 most viewed products for each interval.","O relatório exibe os primeiros 5 produtos mais vistos para cada intervalo."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Para ter relatórios precisos, certifique-se que recarrega as estatísticas desde sempre por cada vez que alterar o fuso horário."
"Guest","Visitante"
"Action","Ação"
"Average (Approved)","Média (Aprovada)"
"Last Review","Última revisão"
"Order Created","Ordem criada"
"Order Updated","Encomenda Atualizada"
"The Order Updated report is created in real time and does not require a refresh.","O relatório de Encomenda Atualizada é criado em realtime e não precisa de ser recarregado."
"Last Invoice Created Date","Data de Criação da Última Fatura"
"Last Credit Memo Created Date","Data de Criação da Última Nota de Crédito"
"First Invoice Created Date","Data de Criação da Primeira Fatura"
"Refresh Lifetime Statistics","Recarregar Estatísticas Desde Sempre"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Tem a certeza que pretende recarregar as estatísticas desde sempre? Esta operação pode tornar a experiência de compras dos seus clientes mais lenta."
"Refresh Statistics for the Last Day","Recarregar Estatísticas para o Último Dia"
"Are you sure you want to refresh statistics for the last day?","Tem a certeza que pretende recarregar as estatísticas para o último dia?"
"Report","Relatório"
"Description","Descrição"
"Delete Customer","Remover Cliente"
"Back","Voltar"
"Delete Company","Excluir Empresa"
"Reset","Reiniciar"
"Save","Salvar"
"Save & Close","Salvar e Fechar"
"Companies","Empresas"
"Add New Company","Adicionar Nova Empresa"
"(me)","(mim)"
"Company Name:","Nome da Empresa:"
"Company Legal Name:","Razão Social:"
"Company Email:","E-mail da Empresa:"
"VAT/TAX ID:","CPF/CNPJ:"
"Re-seller ID:","ID da Revenda:"
"Street Address:","Endereço:"
"City:","Cidade:"
"Country:","País:"
"State/Province:","Estado/Cidade:"
"ZIP/Postal Code:","CEP/Código Postal:"
"Phone Number:","Número do Telefone:"
"Job Title:","Cargo:"
"Email Address:","Endereço de e-mail:"
"Prefix:","Prefixo:"
"First Name:","Nome:"
"Middle Name/Initial:","Nome do Meio/Inicial:"
"Last Name:","Sobrenome:"
"Suffix:","Sufixo:"
"Gender:","Sexo:"
"Duplicated","Duplicado"
"title","title"
"Company Structure","Organograma"
"Page not found.","Página não encontrada."
"Something went wrong.","Algo deu errado."
"New Company","Nova Empresa"
"Thank you! We're reviewing your request and will contact you soon","Obrigado! Estamos revisando a sua solicitação e logo entraremos em contato"
"An error occurred on the server. Your changes have not been saved.","Um erro ocorreu no servidor. Sua modificações não foram salvas."
"Incorrect CAPTCHA","Código de Captcha incorreto"
"Create New Company","Criar Nova Empresa"
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foi(ram) atualizado(s)."
"Something went wrong. Please try again later.","Algo deu errado. Por favor tente novamente mais tarde."
"Invalid value of ""%value"" provided for the email field.","O valor de ""%value"" informado para o e-mail é inválido."
"Invalid value ""%value"" given for the website ID field.","O valor ""%value"" informado é inválido para o campo ID do site."
"You have deleted company %companyName.","Você removeu a empresa %companyName."
"The company no longer exists.","A empresa não existe mais."
"The requested company is not found","A empresa solicitada não foi encontrada"
"Please correct the data sent.","Por favor corrija os dados enviados."
"can not be saved","não pode ser salvo(a)"
"A total of %1 record(s) were deleted.","Um total de %1 registro(s) foi(ram) removido(s)."
"Could not save company","Não foi possível gravar a empresa"
"You have saved company %companyName.","Você gravou a empresa %companyName."
"You have created company %companyName.","Você criou a empresa %companyName."
"You have accepted the invitation to the company","You have accepted the invitation to the company"
"Error occurred when trying to accept the invitation. Please try again later.","Error occurred when trying to accept the invitation. Please try again later."
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Um usuário com este endereço de e-mail já existe no sistema. Se você continuar, o usuário será vinculado para a sua empresa."
"A user with this email address is already a member of your company.","Um usuário com este endereço de e-mail já é membro da sua empresa."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Um usuário com este endereço de e-mail já existe no sistema. Digite um endereço de e-mail diferente para criar este usuário."
"You are not allowed to do this.","Você não tem permissão para fazer isto."
"Cannot create the customer.","Não é possível criar o cliente."
"The customer was successfully created.","O cliente foi criado com sucesso."
"You cannot delete yourself.","Você não pode remover você mesmo."
"Cannot delete this user.","Não é possível excluir este usuário."
"%1's account has been set to Inactive.","%1's account has been set to Inactive."
"The customer was successfully deleted.","O cliente foi removido com sucesso."
"The customer was successfully updated.","O cliente foi atualizado com sucesso."
"Company Profile","Perfil da Empresa"
"The changes you made on the company profile have been successfully saved.","As alterações feitas no perfil de empresa foram salvas com êxito."
"You must fill in all required fields before you can continue.","Você tem que preencher todos os campos obrigatórios antes de continuar."
"Bad Request","Requisição ruim"
"You have deleted role %companyRoleName.","Você removeu a função %companyRoleName."
"Add New Role","Adicionar Nova Função"
"Edit Role","Editar Função"
"Roles and Permissions","Funções e Permissões"
"The tree retrieved successfully.","A árvore foi obtida com sucesso."
"The item was successfully moved.","O item foi removido com sucesso."
"The team was successfully deleted.","O time foi removido com sucesso."
"The team was successfully updated.","O time foi atualizado com sucesso."
"The team was successfully created.","O time foi criado com sucesso."
"Company Users","Usuários da empresa"
"A customer with the same email already assigned to company.","Um cliente com o mesmo e-mail já foi atribuído para a empresa."
"Invitation was sent to an existing customer, they will be added to your organization once they accept the invitation.","Invitation was sent to an existing customer, they will be added to your organization once they accept the invitation."
"Active","Ativo"
"Pending Approval","Aguardando Aprovação"
"Rejected","Rejeitado"
"Blocked","Bloqueado"
"The company admin cannot be moved to a different location in the company structure.","O administrador da empresa não pode ser movido para uma localização diferente na estrutura da empresa."
"A user or a team cannot be moved under itself.","Um usuário ou um time não pode ser movido abaixo dele mesmo."
"A user or a team cannot be moved under its child user or team.","Um usuário ou um time não pode ser movido abaixo do seu usuário filho ou time."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","O ID pai especificado pertence para uma empresa diferente. A entidade especificada (time ou usuário) e seu novo pai precisa pertencer à mesma empresa."
"Unable to move customer structure.","Não é possível mover a estrutura do cliente."
"Cannot delete company with id %1","Não é possível remover uma empresa com o id %1"
"No company admin email is specified in request.","Nenhum e-mail do administrador de empresa foi especificado na solicitação."
"No company admin website ID is specified in request.","Nenhum ID de administrador de site da empresa está especificado na solicitação."
"The Store View selected for sending Welcome email from is not related to the customer's associated website.","The Store View selected for sending Welcome email from is not related to the customer's associated website."
"No such entity with id = %idValue","Não há tal entidade com o id = %idValue"
"Already assigned to a company","Já atribuído a uma empresa"
"Could not assign to the company","Não foi possível atribuir à empresa"
"Invalid code provided","Código inválido fornecido"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","O usuário %1 é o administrado da empresa e não pode ser modificado para inativo. Você precisa definir outro usuário como administrador da empresa primeiro."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Você não pode atualizar o atributo solicitado. ID da linha: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Valor de atributo inválido. Não foi possível alterar a empresa para um administrador de empresa."
"Company admin","Administrador da empresa"
"Company user","Usuário da empresa"
"Individual user","Usuário individual"
"Inactive","Inativo"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Não é possível definir ""permitir"" para o recurso porque seu (s) recurso (s) pai (s) está definido como ""negar""."
"There was an error saving custom attributes.","Houve um erro ao salvar atributos personalizados."
"Invalid value of ""%value"" provided for the %fieldName field.","Valor inválido ""%value"" fornecido para o campo %fieldName."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" é obrigatório. Entre e tente novamente."
"No such entity with %fieldName = %fieldValue","Não há tal entidade com %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Este função não pode ser excluído porque os usuários são atribuídos a ele. Reatribua os usuários para outro função para continuar."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Não é possível excluir um função quando é a única na empresa. Você deve criar um outra função antes de excluir esta."
"User role with this name already exists. Enter a different name to save this role.","Função de usuário com este nome já existe. Digite um nome diferente para salvar."
"Cannot delete role with id %1","Não é possível excluir a função com Id %1"
"Type %1 is not an instance of %2","Tipo %1 não é uma instância de %2"
"The selected user is inactive. To continue, select another user or activate the current user.","O usuário selecionado está inativo. Para continuar, selecione outro usuário ou ative o usuário atual."
"This customer is a user of a different company. Enter a different email address to continue.","Este cliente é um usuário de uma empresa diferente. Digite um endereço de e-mail diferente para continuar."
"Company with this email address already exists in the system. Enter a different email address to continue.","Empresa com este endereço de e-mail já existe no sistema. Digite um endereço de e-mail diferente para continuar."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Valor de atributo inválido. A data e hora rejeitadas e o motivo rejeitado pode ser alterados somente quando o status da empresa for alterado para Rejeitado."
"Invalid attribute value. Rejected date&time and Rejected Reason can not be null when a company status is changed to Rejected.","Valor de atributo inválido. A data e hora rejeitadas e o Motivo Rejeitado não podem ser nulos quando o status da empresa é alterado para Rejeitado."
"Could not save company: %1","Não foi possível gravar a empresa: %1"
"Cannot delete structure with id %1","Não foi possível remover a estrutura com o id %1"
"Could not create team","Não foi possível criar o time"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Essa equipe tem usuários filhos ou equipes alinhados a ela e não pode ser excluída. Por favor, realinhe os usuários ou equipes infantis primeiro."
"Could not update team","Não foi possível atualizar o time"
"Cannot delete team with id %1","Não foi possível remover o time com o id %1"
"You cannot assign a different role to a company admin.","Você não pode atribuir uma função diferente para um administrador de empresa."
"You cannot assign multiple roles to a user.","Você não pode atribuir múltiplas funções para um usuário."
"Invalid login or password.","Login ou senha inválida."
"This account is locked.","Esta conta está bloqueada."
"Your account is not yet approved. If you have questions, please contact the seller.","Sua conta ainda não foi aprovada. Se você tiver dúvidas, entre em contato com o vendedor."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Não é possível excluir o administrador da empresa. A operação de exclusão foi interrompida. Por favor, repita a ação para os outros clientes."
"Something went wrong","Algo deu errado"
"This customer company account is blocked and customer cannot place orders.","Essa conta da empresa do cliente é bloqueada e o cliente não pode fazer pedidos."
"The consumer isn't authorized to access resource.","O consumidor não está autorizado a acessar o recurso."
" - Duplicated"," - Duplicado"
"message","mensagem"
"Exception message","Mensagem de exceção"
"test","teste"
"phrase","frase"
"exception","exceção"
"Localized Exception.","Exceção localizada."
"Error message","Mensagem de erro"
"No such entity.","Não há tal entidade."
"error message","mensagem de erro"
"Could not save role","Não foi possível salvar esta função"
"Cannot delete team","Não é possível excluir grupo"
"Role Name","Nome da Permissão"
"Role Name 15","Nome da função 15"
"Edit","Editar"
"Delete","Excluir"
"Duplicate","Duplicar"
"Company Name","Nome da Empresa"
"Customer Type:","Tipo de Cliente:"
"Company:","Empresa:"
"User Role","Permissões de Acesso"
"User Roles","Funções de Usuário"
"Company Information","Informação da empresa"
"Company Legal Name","Razão Social"
"Company Email","E-mail da Empresa"
"VAT/TAX ID","CPF/CNPJ"
"Re-seller ID","ID da Revenda"
"Legal Address","Endereço Padrão"
"Street Address","Endereço"
"City","Cidade"
"Country","País"
"Please select an option.","Please select an option."
"State/Province","Estado"
"Please select a region, state or province.","Por favor, selecione uma região, estado ou província."
"ZIP/Postal Code","Código Postal"
"Phone Number","Número do Telefone"
"Company Administrator","Administrador da Empresa"
"Job Title","Cargo"
"Email","E-mail"
"Submit","Enviar"
"New Company Account","Nova Conta de Empresa"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Se você representa uma empresa, você vai querer usar a nossa área de conta da empresa. Criar uma conta corporativa fornece a todos os membros da empresa acesso a recursos B2B, como cotação, gerenciamento de usuários da empresa, pedido rápido e muito mais."
"Create a Company Account","Criar uma Conta Empresa"
"Business Structure","Estrutura de negócios"
"Expand All","Expandir Tudo"
"Collapse All","Recolher Tudo"
"Add User","Adicionar Usuário"
"Add Team","Adicionar Equipe"
"Edit Selected","Editar Selecionado"
"Delete Selected","Excluir Selecionado"
"Error","Erro"
"Status","Situação"
"Team Title","Nome do Time"
"Description","Descrição"
"You don't have a company account yet.","Você ainda não tem uma conta de empresa."
"Account Information","Informações de Conta"
"VAT/TAX ID: ","CPF/CNPJ: "
"Re-seller ID: ","ID da Revenda: "
"You have no other address entries in your address book.","Você não tem outras entradas de endereços no catálogo de endereços."
"T: %1","F: %1"
"Contacts","Contatos"
"Sales Representative","Representante de Vendas"
"Role Information","Informações de Acesso"
"Role Permissions","Permissões do Papel"
"Save Role","Salvar Permissão"
"Add New User","Adicionar Novo Usuário"
"Company","Empresa"
"Create an Account","Criar Conta"
"Change","Alterar"
"This action will replace your Company Admin.","Esta ação irá substituir seu administrador de empresa."
"* Your latest changes on the company profile have not been saved yet.","* As alterações mais recentes sobre o perfil da empresa ainda não foram salvas."
"Assigned to %company_name as Company Admin","Assigned to %company_name as Company Admin"
"Dear %name,","Caro %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Você foi atribuido à <a href=""%customer_url"">%company_name</a> como administrador da empresa."
"When you sign in to your account, you can:","Quando você entrar em sua conta, você vai poder:"
"* Create and manage company users and teams","* Criar e gerenciar equipes e usuários da empresa"
"* Manage user permissions for the store","* Gerenciar permissões de usuário para a loja"
"* Create and manage company shipping and billing addresses","* Criar e gerenciar os endereços de remessa e cobrança da empresa"
"You've been linked to a company","You've been linked to a company"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Você foi adicionado a <a href=%customer_url>%company_name</a> 
como o membro da empresa.
    Depois de inserir sua conta,
    os recursos compartilhados da empresa estarão disponíveis para você."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Se isso é um erro,
    entre em contato com o administrador da empresa em %company_admin_email."
"A company has invited you to join","A company has invited you to join"
"Dear %firstname","Prezado %firstname"
"%admin has invited you to join %company, click the link below to accept","%admin convidou você para entrar %company, clique no link abaixo para aceitar"
"Your account is now active","Sua conta agora está ativa"
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Sua conta agora está ativa. Você pode usá-lo para acessar o <a href=""%customer_url"">website</a>."
"Your account is locked","Sua conta está bloqueada"
"Your account is no longer active. You will not be able to use it for login.","Sua conta não está mais ativa. Você não poderá usá-lo para login."
"If this is a mistake, please contact the seller.","Se isto é um erro, entre em contato com o vendedor."
"Your account set inactive","Sua conta foi definida como inativa"
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Sua conta foi definida como inativa e você não pode acessar a conta da empresa. Se você acha que isso é um erro, entre em contato com seu gerente para obter detalhes."
"New company registration request","Nova solicitação de registro da empresa"
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","Um pedido de registro da empresa foi enviado pelo cliente %customer. A conta está temporariamente bloqueada até você aprovar ou rejeitar essa empresa."
"Company: %company","Empresa: %company"
"Your company account is active","Sua conta da empresa está ativa"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Sua solicitação de registro da empresa (para o/a <strong>%company_name</strong>)
    foi aprovada e você foi configurado(a) como Administrador da Empresa.
    Agora você pode criar e gerenciar a estrutura da sua Empresa.
    Os membros da sua empresa podem solicitar demandas, criar listas de requisições,
    e usar outros recursos B2B."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","O status da empresa <strong>%company_name</strong>
    agora está <strong>Ativo</strong>
    Quando fizer login, você poderá fazer pedidos em nome da sua empresa
    e usar outros recursos B2B."
"You’re no longer Company Admin","Você não é mais administrador da empresa"
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Seu tipo de conta foi alterado de administrador da empresa para uma conta de usuário comum. Se você acha que isso é um erro, entre em contato com seu gerente para obter detalhes."
"Assigned to %company_name as Sales Representative","Atribuído a %company_name como representante de vendas"
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Você foi atribuído a %company_name como representante de vendas."
"When you sign in to your account, you will be able to:","Ao fazer login na sua conta, você poderá:"
"* View and manage company quotes in Admin Panel","* Visualizar e gerenciar cotações da empresa no painel de administração"
"* View and edit company profile in Admin Panel","* Visualizar e editar o perfil da empresa no Painel de administração"
"Your company account blocked","Conta da sua empresa bloqueada"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Sua conta da empresa <strong>%company_name</strong> foi bloqueada.
    Os membros da empresa podem continuar a usar o site,
    mas não poderão fazer pedidos."
"If you have any questions, please contact the seller.","Se você tiver alguma dúvida, entre em contato com o vendedor."
"Your company account suspended","Sua conta da empresa está suspensa"
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Sua conta da empresa <strong>%company_name</strong> foi suspensa, dependendo de aprovação do vendedor."
"Your company registration request rejected","Seu rejeitado pedido de registro da empresa"
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Sua solicitação de registro da empresa (para a <strong>%company_name</strong>) foi rejeitada
    pelo seguinte motivo:"
"Show Active Users","Mostrar Usuários Ativos"
"Show Inactive Users","Mostrar usuários inativos"
"Show All Users","Mostrar Todos os Usuários"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Essa ação não pode ser desfeita. Tem certeza de que deseja excluir esta empresa? Depois que a empresa for excluída, todos os membros da empresa serão definidos como Inativos."
"Delete a Company?","Excluir a empresa?"
"Cancel","Cancelar"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Sorry! You cannot delete this user: The user is the company admin.","Desculpa! Não é possível excluir o usuário: O usuário é o administrador de empresa."
"Cannot Delete the Company Admin","Não é possível excluir o administrador de empresa"
"Done","Concluído"
"No results","Nenhum resultado"
"options","opções"
"Proceed","Prosseguir"
"Change Company Status?","Alterar o status da empresa?"
"Change status","Alterar status"
"Popup title","Título de pop-up"
"Cannot delete the user","Não é possível excluir este usuário"
"This user cannot be deleted because he/she is a company admin.","Este usuário não pode ser excluído porque ele é um administrador da empresa."
"Edit User","Editar Usuário"
"Cannot Delete User","Não é possível excluir o usuário"
"Delete this user?","Remover este usuário?"
"This action cannot be undone. Are you sure you want to delete this user?","Essa ação não pode ser desfeita. Tem certeza de que deseja excluir este usuário?"
"Edit Team","Editar Equipe"
"Cannot Delete This Team","Não é possível excluir esta equipe"
"Delete this team?","Excluir esta equipe?"
"This action cannot be undone. Are you sure you want to delete this team?","Essa ação não pode ser desfeita. Tem certeza de que deseja excluir esta equipe?"
"Delete This Role?","Excluir essa função?"
"This action cannot be undone. Are you sure you want to delete this role?","Essa ação não pode ser desfeita. Tem certeza de que deseja excluir essa função?"
"Cannot Delete Role","Não é possível excluir essa função"
"Cannot Delete Customer","Não é possível excluir o cliente"
"Set as Inactive","Definir como Inativo"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set as Inactive to temporarily lock the user. The user’s content is still available to parent users.","Selecione Excluir para excluir permanentemente a conta e o conteúdo do usuário. Pedidos dos usuários e cotações ainda estão visíveis para o comerciante. Selecione Definir como Inativo para bloquear temporariamente o usuário. O conteúdo do usuário ainda está disponível para os usuários pai."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","O usuário com este e-mail já existe no sistema. Digite um endereço de e-mail diferente para continuar. Se você quiser usar sua conta atual como uma conta de administrador, entre em contato com o vendedor."
"Manage Companies","Gerenciar Empresas"
"Company Configuration Section","Seção de Configuração da Empresa"
"Enable Company","Ativar Empresa"
"Company Configuration","Configuração da empresa"
"General","Geral"
"Allow Company Registration from the Storefront","Permitir o registro da empresa na vitrine"
"Email Options - Company Registration","Opções de e-mail - registro da empresa"
"Company Registration Email Recipient","Recipiente de e-mail de registro da empresa"
"Send Company Registration Email Copy To","Enviar cópia do e-mail de registro da empresa para"
"Comma-separated","Separado por vírgula"
"Send Email Copy Method","Enviar método de cópia de e-mail"
"Default Company Registration Email","E-mail de registro padrão da empresa"
"Customer-Related Emails","E-mails relacionados ao cliente"
"Default 'Sales Rep Assigned' Email","E-mail predefinido ""Reputação de vendas atribuída"""
"This email is sent to the company's Sales Rep and the Company Admin.","Este e-mail é enviado para o representante de vendas da empresa e para o administrador da empresa."
"Default 'Assign Company to Customer' Email","Enviar e-mail predefinido ""Atribuir empresa ao cliente"""
"This email is sent to the customer only.","Este e-mail é enviado apenas para o cliente."
"Default 'Assign Company Admin' Email","E-mail predefinido ""Atribuir administrador da empresa"""
"Default 'Company Admin Inactive' Email","E-mail predefinido 'Administrador da Empresa Inativo'"
"Default 'Company Admin Changed To Member' Email","E-mail predefinido 'Administrador da Empresa Alterado para Membro'"
"Default 'Customer Status Active' Email","E-mail predefinido 'Status do cliente ativo'"
"Default 'Customer Status Inactive' Email","E-mail predefinido 'Status do cliente inativo'"
"Company Status Change","Alteração de status da empresa"
"Send Company Status Change Email Copy To","Enviar cópia do e-mail de alteração do status da empresa para"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Separado por vírgula. O(s) destinatário(s) receberá(ão) uma cópia de um e-mail que é enviado por padrão somente ao Administrador da Empresa."
"Default 'Company Status Change To Active 1"" Email","E-mail predefinido 'Mudança de Status da Empresa para Ativo 1'"
"This email is sent when company status changes from Pending Approval to Active.","Este e-mail é enviado quando o status da empresa muda de aprovação pendente para ativo."
"Default 'Company Status Change To Active 2"" Email","E-mail predefinido 'Alteração de status da empresa para ativo 2'"
"This email is sent when company status changes from Rejected or Blocked to Active.","Este e-mail é enviado quando o status da empresa muda de rejeitado ou bloqueado para ativo."
"Default 'Company Status Change To Rejected"" Email","E-mail predefinido 'Alteração de status da empresa para rejeitado'"
"This email is sent when company status changes to Rejected.","Este e-mail é enviado quando o status da empresa é alterado para rejeitado."
"Default 'Company Status Change To Blocked"" Email","E-mail predefinido 'Alteração de status da empresa para bloqueado'"
"This email is sent when company status changes Blocked.","Este e-mail é enviado quando o status da empresa é alterado."
"Default 'Company Status Change To Pending Approval"" Email","E-mail predefinido 'Alteração de status da empresa para aprovação pendente'"
"This email is sent when company status changes to Pending Approval.","Este e-mail é enviado quando o status da empresa é alterado para aprovação pendente."
"All","Todos"
"Account Information (View)","Informações da conta (Visualizar)"
"Legal Address (View)","Endereço Legal (Visualizar)"
"Contacts (View)","Contatos (Visualizar)"
"Company User Management","Gestão de usuários da empresa"
"View roles and permissions","Ver funções e permissões"
"Manage roles and permissions","Gerenciar funções e permissões"
"View users and teams","Visualizar usuários e equipes"
"Manage users and teams","Gerenciar usuários e equipes"
"Sales","Vendas"
"Allow Checkout","Permitir Checkout"
"Use Pay On Account method","Use o método de pagamento em conta"
"View orders","Visualizar pedidos"
"View orders of subordinate users","Ver pedidos de usuários subordinados"
"Are you sure you want to set the selected companies as active?","Tem certeza de que deseja definir as empresas selecionadas como ativas?"
"Set a Company as Active","Definir uma empresa como ativa"
"Set Active","Ativar"
"Are you sure you want to block the selected companies?","Tem certeza de que deseja bloquear as empresas selecionadas?"
"Block a Company","Bloquear uma empresa"
"Block","Bloquear"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Essa ação não pode ser desfeita. Tem certeza de que deseja excluir as empresas selecionadas? Depois que a empresa for excluída, todos os membros da empresa serão definidos como Inativos."
"ID","Id."
"Reseller ID","Revendedor ID"
"Comment","Comente"
"ZIP","CEP"
"Customer Group","Grupo de clientes"
"Company Admin","Administrador de empresa"
"Gender","Gênero"
"Set Inactive","Definir inativo"
"Customer Type","Tipo de Cliente"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Tem certeza de que deseja desativar temporariamente esta conta empresa? Se você confirmar, login para todos os membros da companhia será bloqueado."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Tem certeza de que deseja definir esta empresa como ativa? Se você confirmar, os membros da empresa poderão operar dentro da conta da empresa.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Tem certeza de que deseja rejeitar esta empresa? Se você confirmar, o login para todos os membros da empresa será bloqueado."
"Please specify the reason","Por favor, especifique o motivo"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","O motivo aparecerá no e-mail ""Rejeitado"" enviado para o administrador da empresa. Ele também será salvo e exibido no Painel do administrador (no perfil da empresa)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Tem certeza de que deseja bloquear esta empresa? Se você continuar, os membros da empresa não poderão fazer pedidos."
"Reason for Rejection","Razão para rejeição"
"VAT / TAX ID","CPF/CNPJ"
"Website","Site"
"Prefix","Prefixo"
"First Name","Nome"
"Middle Name/Initial","Nome do meio/inicial"
"Last Name","Sobrenome"
"Suffix","Sufixo"
"Send Welcome Email From","Enviar e-mail de boas-vindas de"
"Advanced Settings","Configurações avançadas"
"Change Customer Group?","Alterar grupo de clientes?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Esta ação irá alterar o grupo de clientes para todos os membros desta empresa. Gostaria de continuar?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","O usuário <%- username %> é o administrador da empresa e não pode ser definido como inativo. Você deve definir outro usuário como administrador da empresa primeiro."
"Customer Active","Cliente Ativo"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Este cliente é um usuário de uma empresa diferente. Se você prosseguir, o cliente será desvinculado da empresa atual e vinculado à empresa selecionada."
"Change Company?","Mudar Empresa?"
"Associate to Company","Associado à empresa"
"My Orders","Meus pedidos"
"Create New Customer","Criar novo cliente"
"Create New Company Account","Criar uma Conta Empresa"
"Name","Nome"
"Role","Função"
"Team","Equipe"
"Users","Usuários"
"Invalid store requested.","Invalid store requested."
"Current store is not active.","A loja atual não está ativa."
"Requested store is inactive","A loja solicitada está inativa"
"The store that was requested wasn't found. Verify the store and try again.","The store that was requested wasn't found. Verify the store and try again."
"The requested customer does not exist.","The requested customer does not exist."
"There was an error retrieving the customer record.","There was an error retrieving the customer record."
"The requested store cannot be found. Please check the request and try again.","The requested store cannot be found. Please check the request and try again."
"Environment emulation nesting is not allowed.","A emulação de ambiente aninhada não é permitido."
"%1","%1"
"The website wasn't found. Verify the website and try again.","The website wasn't found. Verify the website and try again."
"The group wasn't found. Verify the group and try again.","The group wasn't found. Verify the group and try again."
"The store wasn't found. Verify the store and try again.","The store wasn't found. Verify the store and try again."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"%1 should implement %2","%1 deve implementar %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","As seguintes lojas não estão associadas uma categoria de raiz: '. . '. Para a loja a ser exibido corretamente, ela deve ser associada há uma categoria de raiz."
"The scope object is invalid. Verify the scope object and try again.","The scope object is invalid. Verify the scope object and try again."
"Group with the same code","Grupo com o mesmo código"
"Store with the same code","Loja com o mesmo código"
"Website with the same code","Site com o mesmo código"
